Station,Year,Latitude_DD,Longitude_DD,turbidity_mean,turbidity_sd
9_9,2017,59.5925,-151.3992,1.1734569264069263,0.6120843451654436
AlongBay_1,2016,59.5,-151.888,0.31459133333333333,0.06480733235575548
AlongBay_1,2017,59.5,-151.888,0.4519839366515837,0.24371794632408864
AlongBay_10,2016,59.6583,-151.2083,1.502,1.1355905909899164
AlongBay_10,2017,59.6583,-151.2083,0.9973536748329621,0.6523947047574936
AlongBay_11,2017,59.687,-151.165,1.108214191419142,0.8867466163188352
AlongBay_12,2016,59.712,-151.116,1.861825,1.1511095412768146
AlongBay_12,2017,59.712,-151.116,1.045091304347826,0.4585802880868739
AlongBay_13,2017,59.742,-151.057,1.359279365079365,1.4327549889254596
AlongBay_2,2016,59.518,-151.728,0.4305388349514563,0.09034426664861701
AlongBay_2,2017,59.518,-151.728,0.514494425087108,0.26016996875754667
AlongBay_3,2016,59.525,-151.65,0.5950238888888889,0.28993143291966106
AlongBay_3,2017,59.525,-151.65,0.5480912978244561,0.2808015271627774
AlongBay_4,2016,59.552,-151.53,0.6077906300484652,0.2746313461487353
AlongBay_4,2017,59.552,-151.53,0.6375164835164835,0.32791215624777076
